Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Pennee Janssen,@Pennee_J,2017-11-10T19:57:08.000Z,FlashForge  3D Printer http:// s/3d-printer/ …,0,0,0,0
Standard News,@standardnews,2017-11-10T19:05:05.000Z,Aldi is selling a  3D printer  – and it's cheap  https://,0,6,7,0
JBaer,@guitreso,2017-11-10T19:23:00.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
RobocarsBerlin,@RobocarsBerlin,2017-11-10T20:31:02.000Z,Researchers Use  3D-Printer  to Create an Artificial Beating Heart from Silicone  https:// #3Dprinting,0,0,0,0
,@kisiel00anna00,2017-11-10T20:30:37.000Z,"for more go:  http://  Fan-Art:  3D-printed , glowing Legend of Zelda: Breath of the Wild Guardian ...  http://",0,0,0,0
Richard Schumann,@RichardSchuma18,2017-11-10T20:01:45.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
"Epec, LLC",@epectec,2017-11-10T19:09:05.000Z,Engineers Are Using  3D Printing  To Make Space Travel More Affordable  https://  by  @psfk,0,0,0,0
Rob Wilfong,@RobWilfong1,2017-11-10T19:19:38.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
John Hauer,@Get3DJohn,2017-11-10T20:16:32.000Z,Toy Maker:  3D Print  Toys at Home with New App from AstroPrint  http://,0,0,0,0
Miguel Ojeda,@elcuajimais,2017-11-10T19:44:57.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Charles Russo,@Charles_M_Russo,2017-11-10T19:15:36.000Z,"MakeX Introduces Its First FDM  3D Printer , the MIGO  #3dprinting https:// dm-3d-printer-migo/ …",0,0,0,0
Scott,@sdaryllc,2017-11-10T20:13:52.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
David Albin,@David_Albin,2017-11-10T19:25:24.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Aubreyanna williams,@ThickAssMamii,2017-11-10T19:43:34.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Angella,@angelastootsie,2017-11-10T19:19:41.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Kristy Hughes,@blueyedagger,2017-11-10T19:20:26.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Mahmoud Saad,@ma7mods3d,2017-11-10T19:13:06.000Z,#lynda .com Meshmixer:  Additive Manufacturing  Job Preparation  http://,0,0,0,0
don,@idrive2kias,2017-11-10T19:09:34.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Wesley Williams,@WesleyW14938858,2017-11-10T19:33:01.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
ASM 3D Solutions,@stilson41,2017-11-10T19:22:41.000Z,http://,0,0,0,0
kc,@chillydl,2017-11-10T19:33:30.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Ryan Riehl,@riehl246,2017-11-10T19:08:14.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
3D Printing Tech,@MakerWatcher,2017-11-10T20:07:35.000Z,"Fraunhofer ILT to launch large-scale SLM  3D printing  system at formnext 2017 - …  https:// r-ilt-launch-large-scale-slm-3d-printing-system-formnext-2017-124387/ … , see more  http://",0,2,1,0
Mining Review Africa,@MiningReview,2017-11-10T20:01:09.000Z,#SA  manufactures first pure  #platinum 3D printing  prototype -  http://,0,0,0,0
3DEO,@3DEOinc,2017-11-10T20:22:42.000Z,Intelligent Layering Puts 3DEO on Fast  3D-Print  Track -  http://,0,0,0,0
